Fechas,Angostura,Arenal,Balsa Inferior,Boca de Pozo,Cachí,Cariblanco,Chucás,Cote,Cubujuquí,Dengo,Doña Julia,Echandi,Garita,Intercambio Norte,Intercambio Sur,Las Pailas II,Los Negros,Los Negros II,Los Santos,MOVASA,Matamoros,Miravalles I,Miravalles II,Miravalles III,Miravalles V,Parque Solar Miravalles,Peñas Blancas,Pirrís,Pocosol,Reventazón,Río Macho,Sandillal,Tejona,Torito,Toro I,Toro II,Toro III,Valle Central,Ventanas,Ventanas-Garita
2022-04-01 00:00:00.0,0.0,126.0475,0.0,4.728,0.0,0.0,0.0,0.0,15.7926,142.02525,12.687224,2.218,9.79925,119.72958,-56.218259,52.36225,0.0,0.0,0.3219,6.92029,1.450054,51.712,49.198,27.466,0.0,0.0,0.0,4.398,0.0,69.8905,57.48175,24.14775,6.8215,0.0,0.0,0.0,0.0,0.1436,0.0297,49.2895
2022-04-01 01:00:00.0,0.0,108.291,0.0,4.728,0.0,0.0,0.0,0.0,18.0016,124.0285,17.331992,2.219,9.79525,121.276278,-59.34282,52.308,0.0,0.0,0.9278,6.741126,0.303598,51.712,49.19,27.507,0.0,0.0,0.0,0.0,0.0,60.2715,58.51247,24.143,7.3255,0.0,5.356,0.0,0.0,0.0,0.0295,46.008
2022-04-01 02:00:00.0,0.0,105.434,0.0,4.728,0.0,0.0,0.0,0.0,19.9423,117.61475,17.293404,2.221,9.7905,120.071216,-59.669783,52.29925,0.0,0.0,1.4545,7.75633,0.117901,51.712,49.32,27.48,0.0,0.0,0.0,0.0,0.6345,57.3855,55.89269,24.10875,7.546,0.0,6.97137,0.0,0.0,0.5194,0.03,39.8195
2022-04-01 03:00:00.0,0.0,109.0595,0.0,4.724,0.0,0.0,0.0,0.0,16.7795,123.81475,13.078161,2.2205,9.795,121.339417,-58.831128,52.349,0.0,0.0,3.3497,8.035214,0.117555,51.712,49.399,27.4575,0.0,0.0,0.0,0.0,6.0963,62.2565,55.93747,24.126,7.28925,0.0,6.9715,0.0,0.0,3.0947,0.0294,35.332
2022-04-01 04:00:00.0,0.0,119.2625,0.0,4.728,0.0,5.4415,0.0,0.0,14.0537,131.45275,12.733936,2.226,13.15187,123.54262,-60.395205,52.41275,0.0,0.0,4.8088,9.677231,0.114973,51.712,49.522,27.448,0.0,0.0,0.0,0.0,6.8806,66.275,88.81487,24.19175,7.99225,0.0,6.97363,0.0,0.0,4.6967,0.029,34.461
2022-04-01 05:00:00.0,63.244,141.0455,0.0,4.724,0.0,27.34,0.0,0.0,15.0562,159.711,12.731539,2.2315,15.09675,117.969736,-56.964308,52.367,1.151537,0.532417,6.3416,10.348216,1.288358,51.968,49.424,27.4735,0.0,0.0,0.0,0.1305,6.8761,68.563,92.66935,24.22925,8.54125,19.662274,6.97662,0.0,0.0,4.875,0.0284,10.7985
2022-04-01 06:00:00.0,91.852,140.9055,0.0,4.728,0.0,11.5175,0.0,0.0,18.5861,155.32975,14.245377,2.225,15.73113,106.455974,-25.161329,52.36825,3.909821,6.970992,5.0965,11.943967,2.026609,51.712,49.466,27.3975,0.0,0.0045,0.0,9.607,6.8859,60.1335,95.71728,24.196,9.212,31.779684,6.97519,2.168,1.823,5.4485,0.0303,0.0
2022-04-01 07:00:00.0,85.188,130.9155,0.0,4.724,0.0,19.1165,22.810414,0.0,18.6415,148.62375,14.333314,2.401,15.63712,101.225528,-5.142881,52.2435,3.903543,6.962191,4.5488,11.916488,2.154184,51.712,49.394,27.3495,0.0,0.02,0.0,30.8235,6.8733,56.3685,91.83131,24.1555,9.9685,29.123383,6.97513,20.43475,15.394,2.979,0.0296,0.0
2022-04-01 08:00:00.0,87.156,148.5745,0.0,4.724,2.1725,34.681,25.688722,0.0,19.181,166.36375,15.346298,2.389,14.73225,99.904419,-3.955411,52.25525,3.911819,6.96569,3.1581,12.079982,2.140959,51.712,49.388,27.2705,0.0,0.036,0.0,36.18425,6.8937,61.987,95.6221,24.16425,9.91875,29.985677,6.9735,20.33813,14.8295,0.27,0.0289,0.0
2022-04-01 09:00:00.0,97.656,155.5255,0.0,4.728,26.289,37.059,25.57743,0.0,22.3984,173.97425,17.280561,2.397,17.59575,89.062841,-0.310848,52.12775,3.910313,7.431198,4.0248,12.260047,2.146298,51.456,49.315,27.2195,0.0,0.0475,1.67925,27.78075,6.9542,57.245,84.81231,24.20125,9.97825,34.756192,0.79775,20.3625,14.848,0.8176,0.0292,13.8695
2022-04-01 10:00:00.0,93.664,151.958,8.586286,4.724,29.6105,37.0635,8.504637,0.0,22.3938,170.32125,17.237038,2.4,15.60075,91.054138,0.831681,52.02925,3.908337,13.801606,4.4468,12.092951,2.143054,51.456,49.24,27.198,0.0,0.066,17.96875,27.41125,18.2277,55.2335,48.07262,24.2385,9.96875,32.039204,0.0,20.42712,14.8955,1.4514,0.0308,34.9035
2022-04-01 11:00:00.0,93.148,156.179,20.058023,4.728,28.3595,37.068,0.0,0.0,22.3401,174.54175,17.195398,2.4065,15.58875,96.841459,-0.747788,51.989,3.898699,13.775321,3.4803,10.417095,2.141798,51.456,49.125,27.153,0.0,0.2365,17.947,33.1625,18.4145,56.7215,80.71632,24.13875,9.00775,32.905216,0.0,20.18225,14.8895,0.5494,0.0327,45.4855
